Id,Target,Duration,Language,Country,Rating,Action,Adventure,Animation,Biography,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western,Poster
1,0,139,English,France,PG-13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.jpg
2,0,90,English,USA,R,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.jpg
3,0,103,Mandarin,China,R,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.jpg
4,0,108,Dzongkha,Australia,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.jpg
5,0,122,English,USA,PG-13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.jpg
6,0,113,English,USA,PG,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.jpg
7,0,125,German,Germany,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.jpg
8,0,70,English,USA,Approved,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.jpg
9,0,96,English,UK,R,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,9.jpg
10,1,95,English,USA,PG-13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.jpg
11,0,118,English,USA,R,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11.jpg
12,1,88,English,USA,R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.jpg
13,0,98,English,USA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.jpg
14,1,104,English,USA,R,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.jpg
15,1,93,English,USA,Not Rated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.jpg
16,0,114,English,UK,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.jpg
17,0,129,English,USA,PG-13,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,17.jpg
