127.0.0.1 - - [20/Oct/2016:09:04:15 +0600] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [20/Oct/2016:09:04:27 +0600] "GET / HTTP/1.1" 200 2890
127.0.0.1 - - [20/Oct/2016:09:04:27 +0600] "GET /icons/blank.gif HTTP/1.1" 200 148
127.0.0.1 - - [20/Oct/2016:09:04:27 +0600] "GET /icons/text.gif HTTP/1.1" 200 229
127.0.0.1 - - [20/Oct/2016:09:04:27 +0600] "GET /icons/folder.gif HTTP/1.1" 200 225
127.0.0.1 - - [20/Oct/2016:09:04:27 +0600] "GET /favicon.ico HTTP/1.1" 404 1182
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /login.php HTTP/1.1" 200 1667
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /css/bootstrap.css HTTP/1.1" 200 146010
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /css/style.css HTTP/1.1" 200 218
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /css/font-awesome.css HTTP/1.1" 200 35134
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /img/fb.png HTTP/1.1" 200 3297
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /img/vk.png HTTP/1.1" 200 4708
127.0.0.1 - - [20/Oct/2016:09:05:16 +0600] "GET /fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
::1 - - [20/Oct/2016:09:05:18 +0600] "GET /task1/login.php?code=AQB-SmEPmZ-9PsOzTQMmM-jVDL7dqEn0cQ7JXVu4D7rXYW3D30J7xUyrmV-vYksu9DMshYq8eTnJ7n2K-kvp6XMLuDhBnTbWRDIwSwB6MTcJwDbDdHkwaHM7bpgCF0S7hOftG9Swlu7eNYBmthlq1Wehk8LJnGmsuoOKwgULZw3PIkhW6odhwkf4_IZD9EfYwt9x56xCMMBNt2Wf6kWA3Lqwr8qmL8dTDfBxQ2Vdpp9joJMAqZuKv5dO-6dB2cpyYi8WVpuzwZkjMWG5GELC7P5GzjNF9Xg--yYvv5wsoLc5Atr-vnw8EJWaGkrzMDjgw6QJR66bGD2iW_eF0haRUGDv HTTP/1.1" 404 1198
127.0.0.1 - - [20/Oct/2016:09:05:20 +0600] "GET /login.php HTTP/1.1" 200 1667
127.0.0.1 - - [20/Oct/2016:09:05:52 +0600] "GET /register.php HTTP/1.1" 200 1782
127.0.0.1 - - [20/Oct/2016:09:05:55 +0600] "GET /img/tw.png HTTP/1.1" 404 1206
::1 - - [20/Oct/2016:09:05:57 +0600] "GET /task1/register.php?code=37feb332b94782cc44 HTTP/1.1" 404 1204
